ParticipantID,X,Z,Frame,TimeStamp,Lapsed Time,targetName
YasmineBassil,0,-4.1,100,10,1.287758,Automobile shop
YasmineBassil,0,-4.1,101,10,1.294568,Automobile shop
YasmineBassil,0,-4.1,102,10,1.301516,Automobile shop
YasmineBassil,0,-4.1,103,10,1.308583,Automobile shop
YasmineBassil,0,-4.1,104,10,1.315398,Automobile shop
YasmineBassil,0,-4.1,105,10,1.322321,Automobile shop
YasmineBassil,0,-4.1,106,10,1.329362,Automobile shop
YasmineBassil,0,-4.1,107,10,1.33644,Automobile shop
YasmineBassil,0,-4.1,108,10,1.343256,Automobile shop
YasmineBassil,0,-4.1,109,10,1.350242,Automobile shop
YasmineBassil,0,-4.1,110,10,1.357086,Automobile shop
YasmineBassil,0,-4.1,111,10,1.36405,Automobile shop
YasmineBassil,0,-4.1,112,10,1.370963,Automobile shop
YasmineBassil,0,-4.1,113,10,1.377981,Automobile shop
YasmineBassil,0,-4.1,114,10,1.384845,Automobile shop
YasmineBassil,0,-4.1,115,10,1.392316,Automobile shop
YasmineBassil,0,-4.1,116,10,1.40026,Automobile shop
YasmineBassil,0,-4.1,117,10,1.406652,Automobile shop
YasmineBassil,0,-4.1,118,10,1.412624,Automobile shop
YasmineBassil,0,-4.1,119,10,1.419569,Automobile shop
YasmineBassil,0,-4.1,120,10,1.426492,Automobile shop
YasmineBassil,0,-4.1,121,10,1.433613,Automobile shop
YasmineBassil,0,-4.1,122,10,1.44046,Automobile shop
YasmineBassil,0,-4.1,123,10,1.447624,Automobile shop
YasmineBassil,0,-4.1,124,10,1.454233,Automobile shop
YasmineBassil,0,-4.1,125,10,1.461419,Automobile shop
YasmineBassil,0,-4.1,126,10,1.468264,Automobile shop
YasmineBassil,0,-4.1,127,10,1.475237,Automobile shop
YasmineBassil,0,-4.1,128,10,1.48234,Automobile shop
YasmineBassil,0,-4.1,129,10,1.489415,Automobile shop
YasmineBassil,0,-4.1,130,10,1.496642,Automobile shop
YasmineBassil,0,-4.1,131,10,1.504017,Automobile shop
YasmineBassil,0,-4.1,132,10,1.51087,Automobile shop
YasmineBassil,0,-4.1,133,10,1.51807,Automobile shop
YasmineBassil,0,-4.1,134,10,1.524834,Automobile shop
YasmineBassil,0,-4.1,135,10,1.531599,Automobile shop
YasmineBassil,0,-4.1,136,10,1.538538,Automobile shop
YasmineBassil,0,-4.1,137,10,1.545645,Automobile shop
YasmineBassil,0,-4.1,138,10,1.55244,Automobile shop
YasmineBassil,0,-4.1,139,10,1.559399,Automobile shop
YasmineBassil,0,-4.1,140,10,1.56627,Automobile shop
YasmineBassil,0,-4.1,141,10,1.573652,Automobile shop
YasmineBassil,0,-4.1,142,10,1.580799,Automobile shop
YasmineBassil,0,-4.1,143,10,1.587248,Automobile shop
YasmineBassil,0,-4.1,144,10,1.594083,Automobile shop
YasmineBassil,0,-4.1,145,10,1.601062,Automobile shop
YasmineBassil,0,-4.1,146,10,1.608014,Automobile shop
YasmineBassil,0,-4.1,147,10,1.614971,Automobile shop
YasmineBassil,0,-4.1,148,10,1.62185,Automobile shop
YasmineBassil,0,-4.1,149,10,1.629151,Automobile shop
YasmineBassil,0,-4.1,150,10,1.63583,Automobile shop
YasmineBassil,0,-4.1,151,10,1.642752,Automobile shop
YasmineBassil,0,-4.1,152,10,1.649695,Automobile shop
YasmineBassil,0,-4.1,153,10,1.656557,Automobile shop
YasmineBassil,0,-4.1,154,10,1.663538,Automobile shop
YasmineBassil,0,-4.1,155,10,1.670538,Automobile shop
YasmineBassil,0,-4.1,156,10,1.677503,Automobile shop
YasmineBassil,0,-4.1,157,10,1.684499,Automobile shop
YasmineBassil,0,-4.1,158,10,1.691376,Automobile shop
YasmineBassil,0,-4.1,159,10,1.698334,Automobile shop
YasmineBassil,0,-4.1,160,10,1.705177,Automobile shop
YasmineBassil,0,-4.1,161,10,1.712188,Automobile shop
YasmineBassil,0,-4.1,162,10,1.719111,Automobile shop
YasmineBassil,0,-4.1,163,10,1.726207,Automobile shop
YasmineBassil,0,-4.1,164,10,1.733006,Automobile shop
YasmineBassil,0,-4.1,165,10,1.739977,Automobile shop
YasmineBassil,0,-4.1,166,10,1.746868,Automobile shop
YasmineBassil,0,-4.1,167,10,1.75379,Automobile shop
YasmineBassil,0,-4.1,168,10,1.760819,Automobile shop
YasmineBassil,0,-4.1,169,10,1.767746,Automobile shop
YasmineBassil,0,-4.1,170,10,1.774731,Automobile shop
YasmineBassil,0,-4.1,171,10,1.781778,Automobile shop
YasmineBassil,0,-4.1,172,10,1.788483,Automobile shop
YasmineBassil,0,-4.1,173,10,1.795617,Automobile shop
YasmineBassil,0,-4.1,174,10,1.80238,Automobile shop
YasmineBassil,0,-4.1,175,10,1.809329,Automobile shop
YasmineBassil,0,-4.1,176,10,1.816337,Automobile shop
YasmineBassil,0,-4.1,177,10,1.823298,Automobile shop
YasmineBassil,0,-4.1,178,10,1.830261,Automobile shop
YasmineBassil,0,-4.1,179,10,1.837283,Automobile shop
YasmineBassil,0,-4.1,180,10,1.844113,Automobile shop
YasmineBassil,0,-4.1,181,10,1.851206,Automobile shop
YasmineBassil,0,-4.1,182,10,1.859261,Automobile shop
YasmineBassil,0,-4.1,183,10,1.866049,Automobile shop
YasmineBassil,0,-4.1,184,10,1.871863,Automobile shop
YasmineBassil,0,-4.1,185,10,1.87889,Automobile shop
YasmineBassil,0,-4.1,186,10,1.885998,Automobile shop
YasmineBassil,0,-4.1,187,10,1.89277,Automobile shop
YasmineBassil,0,-4.1,188,10,1.899608,Automobile shop
YasmineBassil,0,-4.1,189,10,1.906578,Automobile shop
YasmineBassil,0,-4.1,190,10,1.913508,Automobile shop
YasmineBassil,0,-4.1,191,10,1.920608,Automobile shop
YasmineBassil,0,-4.1,192,10,1.927433,Automobile shop
YasmineBassil,0.1265264,-1.819448,193,10,1.934358,Automobile shop
YasmineBassil,0.1265264,-1.819448,194,10,1.941334,Automobile shop
YasmineBassil,0.1265264,-1.819448,195,10,1.948305,Automobile shop
YasmineBassil,0.1265264,-1.819448,196,10,1.95519,Automobile shop
YasmineBassil,0.1265264,-1.819448,197,10,1.962265,Automobile shop
YasmineBassil,0.1265264,-1.819448,198,10,1.969052,Automobile shop
YasmineBassil,0.1265264,-1.819448,199,10,1.97596,Automobile shop
YasmineBassil,0.1265264,-1.819448,200,10,1.982965,Automobile shop
YasmineBassil,0.1265264,-1.819448,201,10,1.989856,Automobile shop
YasmineBassil,0.1265264,-1.819448,202,10,1.996772,Automobile shop
YasmineBassil,0.1265264,-1.819448,203,10,2.003963,Automobile shop
YasmineBassil,0.1265264,-1.819448,204,10,2.011802,Automobile shop
YasmineBassil,0.1265264,-1.819448,205,10,2.0186,Automobile shop
YasmineBassil,0.1265264,-1.819448,206,10,2.024568,Automobile shop
YasmineBassil,0.1265264,-1.819448,207,10,2.031525,Automobile shop
YasmineBassil,0.1265264,-1.819448,208,10,2.038836,Automobile shop
YasmineBassil,0.1265264,-1.819448,209,10,2.045516,Automobile shop
YasmineBassil,0.1265264,-1.819448,210,10,2.052608,Automobile shop
YasmineBassil,0.1265264,-1.819448,211,10,2.059402,Automobile shop
YasmineBassil,0.1265264,-1.819448,212,10,2.066342,Automobile shop
YasmineBassil,0.1265264,-1.819448,213,10,2.073357,Automobile shop
YasmineBassil,0.1265264,-1.819448,214,10,2.08037,Automobile shop
YasmineBassil,0.1265264,-1.819448,215,10,2.087061,Automobile shop
YasmineBassil,0.1265264,-1.819448,216,10,2.093992,Automobile shop
YasmineBassil,0.1265264,-1.819448,217,10,2.101015,Automobile shop
YasmineBassil,0.1265264,-1.819448,218,10,2.107871,Automobile shop
YasmineBassil,0.1265264,-1.819448,219,10,2.115043,Automobile shop
YasmineBassil,0.1265264,-1.819448,220,10,2.121825,Automobile shop
YasmineBassil,0.1265264,-1.819448,221,10,2.12873,Automobile shop
YasmineBassil,0.1265264,-1.819448,222,10,2.135663,Automobile shop
YasmineBassil,0.1265264,-1.819448,223,10,2.142884,Automobile shop
YasmineBassil,0.1265264,-1.819448,224,10,2.149569,Automobile shop
YasmineBassil,0.1265264,-1.819448,225,10,2.156604,Automobile shop
YasmineBassil,0.1265264,-1.819448,226,10,2.163526,Automobile shop
YasmineBassil,0.1265264,-1.819448,227,10,2.170501,Automobile shop
YasmineBassil,0.1265264,-1.819448,228,10,2.177487,Automobile shop
YasmineBassil,0.1265264,-1.819448,229,10,2.194675,Automobile shop
YasmineBassil,0.1265264,-1.819448,230,10,2.198894,Automobile shop
YasmineBassil,0.1265264,-1.819448,231,10,2.204179,Automobile shop
YasmineBassil,0.1265264,-1.819448,232,10,2.211167,Automobile shop
YasmineBassil,0.1265264,-1.819448,233,10,2.218303,Automobile shop
YasmineBassil,0.1265264,-1.819448,234,10,2.22514,Automobile shop
YasmineBassil,0.1265264,-1.819448,235,10,2.232004,Automobile shop
YasmineBassil,0.1265264,-1.819448,236,10,2.238969,Automobile shop
YasmineBassil,0.1265264,-1.819448,237,10,2.245946,Automobile shop
YasmineBassil,0.1265264,-1.819448,238,10,2.252973,Automobile shop
YasmineBassil,0.1265264,-1.819448,239,10,2.259805,Automobile shop
YasmineBassil,0.1265264,-1.819448,240,10,2.266766,Automobile shop
YasmineBassil,0.1265264,-1.819448,241,10,2.273672,Automobile shop
YasmineBassil,0.1265264,-1.819448,242,10,2.280632,Automobile shop
YasmineBassil,0.1265264,-1.819448,243,10,2.287556,Automobile shop
YasmineBassil,0.1265264,-1.819448,244,10,2.294601,Automobile shop
YasmineBassil,0.1265264,-1.819448,245,10,2.301489,Automobile shop
YasmineBassil,0.1265264,-1.819448,246,10,2.308487,Automobile shop
YasmineBassil,0.1265264,-1.819448,247,10,2.315635,Automobile shop
YasmineBassil,0.1265264,-1.819448,248,10,2.322267,Automobile shop
YasmineBassil,0.1265264,-1.819448,249,10,2.329319,Automobile shop
YasmineBassil,0.1265264,-1.819448,250,10,2.336182,Automobile shop
YasmineBassil,0.1265264,-1.819448,251,10,2.343098,Automobile shop
YasmineBassil,0.1265264,-1.819448,252,10,2.350131,Automobile shop
YasmineBassil,0.1265264,-1.819448,253,10,2.356971,Automobile shop
YasmineBassil,0.1265264,-1.819448,254,10,2.364136,Automobile shop
YasmineBassil,0.1265264,-1.819448,255,10,2.370931,Automobile shop
YasmineBassil,0.1265264,-1.819448,256,10,2.377801,Automobile shop
YasmineBassil,0.1265264,-1.819448,257,10,2.384792,Automobile shop
YasmineBassil,0.1265264,-1.819448,258,10,2.391783,Automobile shop
