ParticipantID,X,Z,Frame,TimeStamp,Lapsed Time,targetName
Anisha,0,-4.1,0,16,0.02,Automobile shop
Anisha,0,-4.1,1,16,0.04,Automobile shop
Anisha,0,-4.1,2,16,0.06,Automobile shop
Anisha,0,-4.1,3,16,0.3933333,Automobile shop
Anisha,0,-4.1,4,16,0.442243,Automobile shop
Anisha,0,-4.1,5,16,0.4467001,Automobile shop
Anisha,0,-4.1,6,16,0.4531886,Automobile shop
Anisha,0,-4.1,7,16,0.4603335,Automobile shop
Anisha,0,-4.1,8,16,0.4753074,Automobile shop
Anisha,0,-4.1,9,16,0.4808469,Automobile shop
Anisha,0,-4.1,10,16,0.4878756,Automobile shop
Anisha,0,-4.1,11,16,0.4947937,Automobile shop
Anisha,0,-4.1,12,16,0.5019774,Automobile shop
Anisha,0,-4.1,13,16,0.508764,Automobile shop
Anisha,0,-4.1,14,16,0.5155659,Automobile shop
Anisha,0,-4.1,15,16,0.5226766,Automobile shop
Anisha,0,-4.1,16,16,0.5299938,Automobile shop
Anisha,0,-4.1,17,16,0.5365235,Automobile shop
Anisha,0,-4.1,18,16,0.5434915,Automobile shop
Anisha,0,-4.1,19,16,0.5503852,Automobile shop
Anisha,0,-4.1,20,16,0.5572013,Automobile shop
Anisha,0,-4.1,21,16,0.5640891,Automobile shop
Anisha,0,-4.1,22,16,0.5713757,Automobile shop
Anisha,0,-4.1,23,16,0.5783894,Automobile shop
Anisha,0,-4.1,24,16,0.5860247,Automobile shop
Anisha,0,-4.1,25,16,0.5921255,Automobile shop
Anisha,0,-4.1,26,16,0.5988397,Automobile shop
Anisha,0,-4.1,27,16,0.6062322,Automobile shop
Anisha,0,-4.1,28,16,0.6129367,Automobile shop
Anisha,0,-4.1,29,16,0.6198871,Automobile shop
Anisha,0,-4.1,30,16,0.6266687,Automobile shop
Anisha,0,-4.1,31,16,0.6336294,Automobile shop
Anisha,0,-4.1,32,16,0.640584,Automobile shop
Anisha,0,-4.1,33,16,0.6507764,Automobile shop
Anisha,0,-4.1,34,16,0.6547779,Automobile shop
Anisha,0,-4.1,35,16,0.6617677,Automobile shop
Anisha,0,-4.1,36,16,0.6687834,Automobile shop
Anisha,0,-4.1,37,16,0.6755629,Automobile shop
Anisha,0,-4.1,38,16,0.6825905,Automobile shop
Anisha,0,-4.1,39,16,0.6895303,Automobile shop
Anisha,0,-4.1,40,16,0.6964872,Automobile shop
Anisha,0,-4.1,41,16,0.7033981,Automobile shop
Anisha,0,-4.1,42,16,0.7104909,Automobile shop
Anisha,0,-4.1,43,16,0.7173482,Automobile shop
Anisha,0,-4.1,44,16,0.724324,Automobile shop
Anisha,0,-4.1,45,16,0.731215,Automobile shop
Anisha,0,-4.1,46,16,0.7381741,Automobile shop
Anisha,0,-4.1,47,16,0.7450655,Automobile shop
Anisha,0,-4.1,48,16,0.7519852,Automobile shop
Anisha,0,-4.1,49,16,0.7589394,Automobile shop
Anisha,0,-4.1,50,16,0.7660172,Automobile shop
Anisha,0,-4.1,51,16,0.7729248,Automobile shop
Anisha,0,-4.1,52,16,0.7799681,Automobile shop
Anisha,0,-4.1,53,16,0.7874989,Automobile shop
Anisha,0,-4.1,54,16,0.7939346,Automobile shop
Anisha,0,-4.1,55,16,0.8006029,Automobile shop
Anisha,0,-4.1,56,16,0.8076436,Automobile shop
Anisha,0,-4.1,57,16,0.8145975,Automobile shop
Anisha,0,-4.1,58,16,0.8217465,Automobile shop
Anisha,0,-4.1,59,16,0.8283579,Automobile shop
Anisha,0,-4.1,60,16,0.8354497,Automobile shop
Anisha,0,-4.1,61,16,0.8423642,Automobile shop
Anisha,0,-4.1,62,16,0.8492735,Automobile shop
Anisha,0,-4.1,63,16,0.856107,Automobile shop
Anisha,0,-4.1,64,16,0.8631871,Automobile shop
Anisha,0,-4.1,65,16,0.8705547,Automobile shop
Anisha,0,-4.1,66,16,0.8778651,Automobile shop
Anisha,0,-4.1,67,16,0.884863,Automobile shop
Anisha,0,-4.1,68,16,0.8929488,Automobile shop
Anisha,0,-4.1,69,16,0.8993184,Automobile shop
Anisha,0,-4.1,70,16,0.9060223,Automobile shop
Anisha,0,-4.1,71,16,0.9129029,Automobile shop
Anisha,0,-4.1,72,16,0.9197912,Automobile shop
Anisha,0,-4.1,73,16,0.9266523,Automobile shop
Anisha,0,-4.1,74,16,0.9334439,Automobile shop
Anisha,0,-4.1,75,16,0.9403637,Automobile shop
Anisha,0,-4.1,76,16,0.9473194,Automobile shop
Anisha,0,-4.1,77,16,0.9543125,Automobile shop
Anisha,0,-4.1,78,16,0.9612163,Automobile shop
Anisha,0,-4.1,79,16,0.9682992,Automobile shop
Anisha,0,-4.1,80,16,0.9752814,Automobile shop
Anisha,0,-4.1,81,16,0.982065,Automobile shop
Anisha,0,-4.1,82,16,0.9897709,Automobile shop
Anisha,0,-4.1,83,16,0.996133,Automobile shop
Anisha,0,-4.1,84,16,1.002938,Automobile shop
Anisha,0,-4.1,85,16,1.009811,Automobile shop
Anisha,0,-4.1,86,16,1.01685,Automobile shop
Anisha,0,-4.1,87,16,1.023757,Automobile shop
Anisha,0,-4.1,88,16,1.030732,Automobile shop
Anisha,0,-4.1,89,16,1.037779,Automobile shop
Anisha,0,-4.1,90,16,1.04481,Automobile shop
Anisha,0,-4.1,91,16,1.05154,Automobile shop
Anisha,0,-4.1,92,16,1.058582,Automobile shop
Anisha,0,-4.1,93,16,1.065343,Automobile shop
Anisha,0,-4.1,94,16,1.072403,Automobile shop
Anisha,0,-4.1,95,16,1.07925,Automobile shop
Anisha,0,-4.1,96,16,1.086399,Automobile shop
Anisha,0,-4.1,97,16,1.093278,Automobile shop
Anisha,0,-4.1,98,16,1.10009,Automobile shop
Anisha,0,-4.1,99,16,1.10719,Automobile shop
Anisha,0,-4.1,100,16,1.113953,Automobile shop
Anisha,0,-4.1,101,16,1.121072,Automobile shop
Anisha,0,-4.1,102,16,1.127898,Automobile shop
Anisha,0,-4.1,103,16,1.134833,Automobile shop
Anisha,0,-4.1,104,16,1.141696,Automobile shop
