ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC26_Practice,0,-4.1,0,0.02,0.02,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC26_Practice,0,-4.1,1,0.04,0.04,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC26_Practice,0,-4.1,2,0.06,0.06,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNC26_Practice,0,-4.1,3,0.3933333,0.3933333,Bank #1 || Task: None,(354.3, 8.2, 1.1)
BNC26_Practice,0,-4.1,4,0.4650849,0.4650849,Bank #1 || Task: None,(354.1, 8.5, 0.8)
BNC26_Practice,0,-4.1,5,0.4995086,0.4995086,Bank #1 || Task: None,(354.1, 8.5, 0.8)
BNC26_Practice,0,-4.1,6,0.5052357,0.5052357,Bank #1 || Task: None,(354.1, 8.5, 0.7)
BNC26_Practice,0,-4.1,7,0.5086121,0.5086121,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,8,0.5150431,0.5150431,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,9,0.521382,0.521382,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,10,0.5286142,0.5286142,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,11,0.5361665,0.5361665,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,12,0.543233,0.543233,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,13,0.5499244,0.5499244,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,14,0.5563573,0.5563573,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,15,0.5633409,0.5633409,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,16,0.5703303,0.5703303,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,17,0.5772799,0.5772799,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,18,0.5853063,0.5853063,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,19,0.5911248,0.5911248,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,20,0.5979212,0.5979212,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,21,0.6049885,0.6049885,Bank #1 || Task: None,(354.2, 8.5, 0.7)
BNC26_Practice,0,-4.1,22,0.6119966,0.6119966,Bank #1 || Task: None,(354.2, 8.5, 0.6)
BNC26_Practice,0,-4.1,23,0.6189202,0.6189202,Bank #1 || Task: None,(354.2, 8.5, 0.6)
BNC26_Practice,0,-4.1,24,0.625824,0.625824,Bank #1 || Task: None,(354.2, 8.5, 0.6)
BNC26_Practice,0,-4.1,25,0.632776,0.632776,Bank #1 || Task: None,(354.3, 8.5, 0.6)
BNC26_Practice,0,-4.1,26,0.6395591,0.6395591,Bank #1 || Task: None,(354.3, 8.5, 0.6)
BNC26_Practice,0,-4.1,27,0.6464195,0.6464195,Bank #1 || Task: None,(354.3, 8.5, 0.6)
BNC26_Practice,0,-4.1,28,0.973021,0.973021,Bank #1 || Task: None,(354.2, 8.5, 0.5)
BNC26_Practice,0,-4.1,29,1.004659,1.004659,Bank #1 || Task: None,(354.2, 8.4, 0.5)
BNC26_Practice,0,-4.1,30,1.010168,1.010168,Bank #1 || Task: None,(354.3, 8.4, 0.5)
BNC26_Practice,0,-4.1,31,1.014989,1.014989,Bank #1 || Task: None,(354.3, 8.4, 0.5)
BNC26_Practice,0,-4.1,32,1.021904,1.021904,Bank #1 || Task: None,(354.3, 8.4, 0.5)
BNC26_Practice,0,-4.1,33,1.028698,1.028698,Bank #1 || Task: None,(354.3, 8.4, 0.5)
BNC26_Practice,0,-4.1,34,1.035674,1.035674,Bank #1 || Task: None,(354.3, 8.4, 0.5)
BNC26_Practice,0,-4.1,35,1.042528,1.042528,Bank #1 || Task: None,(354.3, 8.4, 0.5)
BNC26_Practice,0,-4.1,36,1.04948,1.04948,Bank #1 || Task: None,(354.3, 8.4, 0.5)
BNC26_Practice,0,-4.1,37,1.056411,1.056411,Bank #1 || Task: None,(354.3, 8.4, 0.5)
BNC26_Practice,0,-4.1,38,1.063334,1.063334,Bank #1 || Task: None,(354.4, 8.4, 0.6)
BNC26_Practice,0,-4.1,39,1.070263,1.070263,Bank #1 || Task: None,(354.4, 8.4, 0.6)
BNC26_Practice,0,-4.1,40,1.077312,1.077312,Bank #1 || Task: None,(354.4, 8.4, 0.6)
BNC26_Practice,0,-4.1,41,1.084167,1.084167,Bank #1 || Task: None,(354.5, 8.4, 0.6)
BNC26_Practice,0,-4.1,42,1.091014,1.091014,Bank #1 || Task: None,(354.6, 8.4, 0.6)
BNC26_Practice,0,-4.1,43,1.098029,1.098029,Bank #1 || Task: None,(354.6, 8.4, 0.6)
BNC26_Practice,0,-4.1,44,1.105164,1.105164,Bank #1 || Task: None,(354.7, 8.3, 0.6)
BNC26_Practice,0,-4.1,45,1.112011,1.112011,Bank #1 || Task: None,(354.8, 8.3, 0.6)
BNC26_Practice,0,-4.1,46,1.119086,1.119086,Bank #1 || Task: None,(354.9, 8.3, 0.7)
BNC26_Practice,0,-4.1,47,1.126077,1.126077,Bank #1 || Task: None,(355.0, 8.3, 0.7)
BNC26_Practice,0,-4.1,48,1.134008,1.134008,Bank #1 || Task: None,(355.1, 8.3, 0.7)
BNC26_Practice,0,-4.1,49,1.140374,1.140374,Bank #1 || Task: None,(355.2, 8.3, 0.7)
BNC26_Practice,0,-4.1,50,1.146666,1.146666,Bank #1 || Task: None,(355.3, 8.3, 0.7)
BNC26_Practice,0,-4.1,51,1.153716,1.153716,Bank #1 || Task: None,(355.5, 8.3, 0.8)
BNC26_Practice,0,-4.1,52,1.160534,1.160534,Bank #1 || Task: None,(355.6, 8.3, 0.8)
BNC26_Practice,0,-4.1,53,1.167676,1.167676,Bank #1 || Task: None,(355.8, 8.3, 0.8)
BNC26_Practice,0,-4.1,54,1.174509,1.174509,Bank #1 || Task: None,(356.0, 8.3, 0.8)
BNC26_Practice,0,-4.1,55,1.182449,1.182449,Bank #1 || Task: None,(356.2, 8.3, 0.9)
BNC26_Practice,0,-4.1,56,1.188381,1.188381,Bank #1 || Task: None,(356.4, 8.3, 0.9)
BNC26_Practice,0,-4.1,57,1.19531,1.19531,Bank #1 || Task: None,(356.5, 8.3, 0.9)
BNC26_Practice,0,-4.1,58,1.202243,1.202243,Bank #1 || Task: None,(356.7, 8.3, 1.0)
BNC26_Practice,0,-4.1,59,1.209141,1.209141,Bank #1 || Task: None,(356.9, 8.3, 1.0)
BNC26_Practice,0,-4.1,60,1.216293,1.216293,Bank #1 || Task: None,(357.0, 8.3, 1.0)
BNC26_Practice,0,-4.1,61,1.22345,1.22345,Bank #1 || Task: None,(357.1, 8.3, 1.0)
BNC26_Practice,0,-4.1,62,1.230133,1.230133,Bank #1 || Task: None,(357.2, 8.3, 1.1)
BNC26_Practice,0,-4.1,63,1.237057,1.237057,Bank #1 || Task: None,(357.3, 8.3, 1.1)
BNC26_Practice,0,-4.1,64,1.244058,1.244058,Bank #1 || Task: None,(357.3, 8.3, 1.1)
BNC26_Practice,0,-4.1,65,1.251179,1.251179,Bank #1 || Task: None,(357.3, 8.3, 1.1)
BNC26_Practice,0,-4.1,66,1.257912,1.257912,Bank #1 || Task: None,(357.4, 8.3, 1.1)
BNC26_Practice,0,-4.1,67,1.265246,1.265246,Bank #1 || Task: None,(357.4, 8.3, 1.1)
BNC26_Practice,0,-4.1,68,1.272129,1.272129,Bank #1 || Task: None,(357.4, 8.2, 1.1)
