ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNC14,0,-4.1,51,1.091045,1.091045,Bank #1 || Task: None,(356.2, 354.7, 356.6)
BNC14,0,-4.1,52,1.097165,1.097165,Bank #1 || Task: None,(356.2, 354.7, 356.6)
BNC14,0,-4.1,53,1.104203,1.104203,Bank #1 || Task: None,(356.2, 354.7, 356.6)
BNC14,0,-4.1,54,1.111107,1.111107,Bank #1 || Task: None,(356.3, 354.7, 356.6)
BNC14,0,-4.1,55,1.118008,1.118008,Bank #1 || Task: None,(356.3, 354.7, 356.6)
BNC14,0,-4.1,56,1.124893,1.124893,Bank #1 || Task: None,(356.4, 354.7, 356.6)
BNC14,0,-4.1,57,1.132678,1.132678,Bank #1 || Task: None,(356.4, 354.7, 356.6)
BNC14,0,-4.1,58,1.138784,1.138784,Bank #1 || Task: None,(356.5, 354.7, 356.6)
BNC14,0,-4.1,59,1.145817,1.145817,Bank #1 || Task: None,(356.6, 354.7, 356.6)
BNC14,0,-4.1,60,1.152646,1.152646,Bank #1 || Task: None,(356.7, 354.8, 356.6)
BNC14,0,-4.1,61,1.159676,1.159676,Bank #1 || Task: None,(356.9, 354.8, 356.6)
BNC14,0,-4.1,62,1.166584,1.166584,Bank #1 || Task: None,(357.1, 354.8, 356.6)
BNC14,0,-4.1,63,1.17357,1.17357,Bank #1 || Task: None,(357.3, 354.8, 356.7)
BNC14,0,-4.1,64,1.180528,1.180528,Bank #1 || Task: None,(357.6, 354.9, 356.7)
BNC14,0,-4.1,65,1.187594,1.187594,Bank #1 || Task: None,(357.9, 354.9, 356.8)
BNC14,0,-4.1,66,1.194387,1.194387,Bank #1 || Task: None,(358.2, 354.9, 356.8)
BNC14,0,-4.1,67,1.201271,1.201271,Bank #1 || Task: None,(358.5, 355.0, 356.8)
BNC14,0,-4.1,68,1.208227,1.208227,Bank #1 || Task: None,(358.9, 355.0, 356.8)
BNC14,0,-4.1,69,1.215183,1.215183,Bank #1 || Task: None,(359.3, 355.1, 356.9)
BNC14,0,-4.1,70,1.22221,1.22221,Bank #1 || Task: None,(359.8, 355.1, 356.9)
BNC14,0,-4.1,71,1.229137,1.229137,Bank #1 || Task: None,(0.3, 355.2, 356.9)
BNC14,0,-4.1,72,1.236017,1.236017,Bank #1 || Task: None,(0.8, 355.3, 357.0)
BNC14,0,-4.1,73,1.243117,1.243117,Bank #1 || Task: None,(1.2, 355.3, 357.0)
BNC14,0,-4.1,74,1.250225,1.250225,Bank #1 || Task: None,(1.8, 355.4, 357.0)
BNC14,0,-4.1,75,1.257351,1.257351,Bank #1 || Task: None,(2.2, 355.5, 357.1)
BNC14,0,-4.1,76,1.264549,1.264549,Bank #1 || Task: None,(2.8, 355.6, 357.1)
BNC14,0,-4.1,77,1.27163,1.27163,Bank #1 || Task: None,(3.3, 355.7, 357.0)
BNC14,0,-4.1,78,1.278597,1.278597,Bank #1 || Task: None,(3.8, 355.7, 357.0)
BNC14,0,-4.1,79,1.285464,1.285464,Bank #1 || Task: None,(4.4, 355.9, 357.0)
BNC14,0,-4.1,80,1.292533,1.292533,Bank #1 || Task: None,(4.9, 356.0, 356.9)
BNC14,0,-4.1,81,1.299704,1.299704,Bank #1 || Task: None,(5.5, 356.1, 356.9)
BNC14,0,-4.1,82,1.306515,1.306515,Bank #1 || Task: None,(6.1, 356.2, 356.8)
BNC14,0,-4.1,83,1.313429,1.313429,Bank #1 || Task: None,(6.6, 356.3, 356.7)
BNC14,0,-4.1,84,1.320536,1.320536,Bank #1 || Task: None,(7.3, 356.4, 356.7)
BNC14,0,-4.1,85,1.327276,1.327276,Bank #1 || Task: None,(7.9, 356.6, 356.6)
BNC14,0,-4.1,86,1.334857,1.334857,Bank #1 || Task: None,(8.5, 356.7, 356.5)
BNC14,0,-4.1,87,1.341108,1.341108,Bank #1 || Task: None,(9.1, 356.8, 356.5)
BNC14,0,-4.1,88,1.348198,1.348198,Bank #1 || Task: None,(9.8, 357.0, 356.4)
BNC14,0,-4.1,89,1.354974,1.354974,Bank #1 || Task: None,(10.4, 357.1, 356.3)
BNC14,0,-4.1,90,1.361918,1.361918,Bank #1 || Task: None,(11.1, 357.3, 356.3)
BNC14,0,-4.1,91,1.368914,1.368914,Bank #1 || Task: None,(11.8, 357.4, 356.2)
BNC14,0,-4.1,92,1.375862,1.375862,Bank #1 || Task: None,(12.4, 357.6, 356.2)
BNC14,0,-4.1,93,1.382895,1.382895,Bank #1 || Task: None,(13.1, 357.8, 356.1)
BNC14,0,-4.1,94,1.389688,1.389688,Bank #1 || Task: None,(13.7, 358.0, 356.1)
BNC14,0,-4.1,95,1.396898,1.396898,Bank #1 || Task: None,(14.4, 358.2, 356.1)
BNC14,0,-4.1,96,1.403627,1.403627,Bank #1 || Task: None,(15.1, 358.4, 356.1)
BNC14,0,-4.1,97,1.410559,1.410559,Bank #1 || Task: None,(15.7, 358.6, 356.1)
BNC14,0,-4.1,98,1.417487,1.417487,Bank #1 || Task: None,(16.4, 358.8, 356.0)
BNC14,0,-4.1,99,1.424466,1.424466,Bank #1 || Task: None,(17.1, 359.0, 356.1)
BNC14,0,-4.1,100,1.431453,1.431453,Bank #1 || Task: None,(17.8, 359.2, 356.1)
BNC14,0,-4.1,101,1.43832,1.43832,Bank #1 || Task: None,(18.5, 359.4, 356.1)
BNC14,0,-4.1,102,1.445462,1.445462,Bank #1 || Task: None,(19.3, 359.6, 356.2)
BNC14,0,-4.1,103,1.452157,1.452157,Bank #1 || Task: None,(20.0, 359.8, 356.3)
BNC14,0,-4.1,104,1.459146,1.459146,Bank #1 || Task: None,(20.8, 360.0, 356.3)
BNC14,0,-4.1,105,1.466196,1.466196,Bank #1 || Task: None,(21.6, 0.2, 356.4)
BNC14,0,-4.1,106,1.473031,1.473031,Bank #1 || Task: None,(22.3, 0.4, 356.5)
BNC14,0,-4.1,107,1.479957,1.479957,Bank #1 || Task: None,(23.1, 0.5, 356.6)
BNC14,0,-4.1,108,1.486857,1.486857,Bank #1 || Task: None,(24.0, 0.7, 356.7)
BNC14,0,-4.1,109,1.493838,1.493838,Bank #1 || Task: None,(24.9, 0.8, 356.8)
BNC14,0,-4.1,110,1.500751,1.500751,Bank #1 || Task: None,(25.7, 0.9, 356.9)
BNC14,0,-4.1,111,1.507936,1.507936,Bank #1 || Task: None,(26.5, 1.0, 357.0)
BNC14,0,-4.1,112,1.514688,1.514688,Bank #1 || Task: None,(27.2, 1.1, 357.1)
BNC14,0,-4.1,113,1.521657,1.521657,Bank #1 || Task: None,(27.8, 1.3, 357.1)
BNC14,0,-4.1,114,1.528691,1.528691,Bank #1 || Task: None,(28.5, 1.4, 357.1)
BNC14,0,-4.1,115,1.536459,1.536459,Bank #1 || Task: None,(29.0, 1.5, 357.1)
BNC14,0,-4.1,116,1.54249,1.54249,Bank #1 || Task: None,(29.5, 1.6, 357.0)
BNC14,0,-4.1,117,1.549507,1.549507,Bank #1 || Task: None,(30.0, 1.7, 357.0)
