ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNCTour,0,-4.1,4541,31.94554,31.94554,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4542,31.95258,31.95258,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4543,31.95953,31.95953,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4544,31.96632,31.96632,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4545,31.97332,31.97332,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4546,31.98026,31.98026,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4547,31.98716,31.98716,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4548,31.99415,31.99415,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4549,32.00111,32.00111,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4550,32.00806,32.00806,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4551,32.01598,32.01598,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4552,32.02193,32.02193,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4553,32.02904,32.02904,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4554,32.03591,32.03591,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4555,32.0428,32.0428,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4556,32.04972,32.04972,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4557,32.05666,32.05666,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4558,32.06358,32.06358,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4559,32.07065,32.07065,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4560,32.07743,32.07743,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4561,32.08437,32.08437,Bank #1 || Task: None,(0.0, 0.0, 0.0)
